principal_component,explained_variance_ratio,cumulative_variance
PC1,0.09087436868661315,0.09087436868661315
PC2,0.06523065955068347,0.1561050282372966
PC3,0.055591591567577134,0.21169661980487375
PC4,0.049476181079050954,0.2611728008839247
PC5,0.04327406256299063,0.3044468634469153
PC6,0.036308181323886586,0.3407550447708019
PC7,0.035456976336321534,0.37621202110712343
PC8,0.03157176525539929,0.4077837863625227
PC9,0.029540681865363773,0.4373244682278865
PC10,0.02873703853066612,0.4660615067585526
