threshold,accuracy,precision,recall,f1_score,roc_auc
0.1,0.5536,0.3258,0.9782,0.4888,0.945
0.11,0.5799,0.3392,0.9761,0.5034,0.945
0.12,0.6046,0.3526,0.9719,0.5175,0.945
0.13,0.6261,0.3656,0.9712,0.5313,0.945
0.14,0.6477,0.3794,0.9669,0.545,0.945
0.15,0.6676,0.393,0.9606,0.5578,0.945
0.16,0.6879,0.4083,0.9578,0.5725,0.945
0.17,0.7043,0.4216,0.9543,0.5848,0.945
0.18,0.7201,0.4352,0.9487,0.5966,0.945
0.19,0.735,0.449,0.9437,0.6085,0.945
0.2,0.7494,0.4635,0.9409,0.621,0.945
0.21,0.7611,0.4758,0.9325,0.6301,0.945
0.22,0.7749,0.4916,0.9276,0.6426,0.945
0.23,0.7852,0.5042,0.9233,0.6523,0.945
0.24,0.7961,0.5185,0.917,0.6624,0.945
0.25,0.8074,0.5343,0.9135,0.6743,0.945
0.26,0.8163,0.5477,0.9079,0.6832,0.945
0.27,0.8249,0.5619,0.8966,0.6909,0.945
0.28,0.8326,0.5752,0.8903,0.6989,0.945
0.29,0.8421,0.592,0.8889,0.7107,0.945
0.3,0.8479,0.6041,0.8797,0.7163,0.945
0.31,0.8555,0.6198,0.8734,0.725,0.945
0.32,0.8611,0.6325,0.8678,0.7317,0.945
0.33,0.8671,0.6463,0.8636,0.7393,0.945
0.34,0.8711,0.6575,0.8544,0.7431,0.945
0.35,0.8776,0.6735,0.8516,0.7522,0.945
0.36,0.8818,0.6859,0.846,0.7576,0.945
0.37,0.8857,0.6981,0.839,0.7621,0.945
0.38,0.8892,0.7096,0.8333,0.7665,0.945
0.39,0.8929,0.7215,0.8291,0.7716,0.945
0.4,0.8949,0.7302,0.8221,0.7734,0.945
0.41,0.8975,0.741,0.815,0.7763,0.945
0.42,0.8998,0.7511,0.8087,0.7789,0.945
0.43,0.9041,0.7673,0.8045,0.7854,0.945
0.44,0.9066,0.7779,0.8003,0.7889,0.945
0.45,0.9108,0.7943,0.7982,0.7962,0.945
0.46,0.9128,0.8068,0.7897,0.7982,0.945
0.47,0.9136,0.8119,0.7862,0.7989,0.945
0.48,0.9151,0.8216,0.7806,0.8006,0.945
0.49,0.9159,0.8281,0.7757,0.801,0.945
0.5,0.9173,0.8373,0.7707,0.8026,0.945
0.51,0.919,0.8476,0.7665,0.805,0.945
0.52,0.9207,0.8577,0.763,0.8076,0.945
0.53,0.921,0.8648,0.756,0.8068,0.945
0.54,0.9216,0.8718,0.7511,0.807,0.945
0.55,0.9219,0.8763,0.7475,0.8068,0.945
0.56,0.9228,0.882,0.7461,0.8084,0.945
0.57,0.9236,0.8882,0.7433,0.8093,0.945
0.58,0.9248,0.8942,0.7433,0.8118,0.945
0.59,0.9259,0.9016,0.7412,0.8136,0.945
0.6,0.927,0.9092,0.7391,0.8154,0.945
0.61,0.9277,0.9189,0.7335,0.8158,0.945
0.62,0.9288,0.9269,0.7314,0.8176,0.945
0.63,0.9291,0.9309,0.7293,0.8178,0.945
0.64,0.9296,0.9357,0.7271,0.8184,0.945
0.65,0.9299,0.9406,0.7243,0.8184,0.945
0.66,0.9309,0.9483,0.7229,0.8204,0.945
0.67,0.9322,0.9562,0.7222,0.8229,0.945
0.68,0.9325,0.9589,0.7215,0.8234,0.945
0.69,0.9329,0.9651,0.7187,0.8239,0.945
0.7,0.9329,0.9677,0.7166,0.8234,0.945
0.71,0.9334,0.9714,0.7159,0.8243,0.945
0.72,0.9336,0.9741,0.7145,0.8243,0.945
0.73,0.9328,0.9749,0.7103,0.8218,0.945
0.74,0.9325,0.9749,0.7089,0.8208,0.945
0.75,0.9322,0.9757,0.7068,0.8197,0.945
0.76,0.9323,0.9776,0.706,0.8199,0.945
0.77,0.9316,0.9784,0.7018,0.8174,0.945
0.78,0.9316,0.9803,0.7004,0.8171,0.945
0.79,0.9317,0.9832,0.699,0.8171,0.945
0.8,0.9313,0.9841,0.6962,0.8155,0.945
0.81,0.9311,0.986,0.6941,0.8147,0.945
0.82,0.9306,0.986,0.692,0.8132,0.945
0.83,0.93,0.9869,0.6885,0.8111,0.945
0.84,0.929,0.9868,0.6835,0.8076,0.945
0.85,0.928,0.9867,0.6793,0.8047,0.945
0.86,0.9276,0.9867,0.6772,0.8032,0.945
0.87,0.9268,0.9876,0.673,0.8005,0.945
0.88,0.9263,0.9886,0.6702,0.7988,0.945
0.89,0.9242,0.9905,0.6589,0.7914,0.945
0.9,0.9222,0.9914,0.6491,0.7845,0.945
